instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file
A-n32-k5,32,100,5,0,2,885,2001,885,2001,A-n32-k5_t2.log
A-n33-k6,33,100,6,0,2,767,2000,767,2000,A-n33-k6_t2.log
A-n36-k5,36,100,5,0,2,860,2000,860,2000,A-n36-k5_t2.log
A-n39-k5,39,100,5,0,2,897,2000,897,2000,A-n39-k5_t2.log
A-n44-k6,44,100,6,0,2,1088,2000,1088,2000,A-n44-k6_t2.log
B-n50-k7,50,100,7,0,2,880,2001,880,2001,B-n50-k7_t2.log
E-n30-k3,30,4500,3,0,2,512,2000,512,2000,E-n30-k3_t2.log
E-n33-k4,33,8000,4,0,2,892,2000,892,2000,E-n33-k4_t2.log
P-n16-k8,16,35,8,0,2,451,2000,451,2000,P-n16-k8_t2.log
P-n22-k2,22,160,2,0,2,218,2000,218,2000,P-n22-k2_t2.log
P-n45-k5,45,150,5,0,2,617,2000,617,2000,P-n45-k5_t2.log
P-n50-k10,50,100,10,0,2,792,2000,792,2000,P-n50-k10_t2.log
