instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file,bks_cost,gap_final_pct,gap_best_pct
A-n32-k5,32,100,5,0,2,885,2001,885,2001,A-n32-k5_t2.log,784,12.88,12.88
A-n33-k6,33,100,6,0,2,767,2000,767,2000,A-n33-k6_t2.log,742,3.37,3.37
A-n36-k5,36,100,5,0,2,860,2000,860,2000,A-n36-k5_t2.log,799,7.63,7.63
A-n39-k5,39,100,5,0,2,897,2000,897,2000,A-n39-k5_t2.log,822,9.12,9.12
A-n44-k6,44,100,6,0,2,1088,2000,1088,2000,A-n44-k6_t2.log,937,16.12,16.12
B-n50-k7,50,100,7,0,2,880,2001,880,2001,B-n50-k7_t2.log,741,18.76,18.76
E-n30-k3,30,4500,3,0,2,512,2000,512,2000,E-n30-k3_t2.log,534,-4.12,-4.12
E-n33-k4,33,8000,4,0,2,892,2000,892,2000,E-n33-k4_t2.log,835,6.83,6.83
P-n16-k8,16,35,8,0,2,451,2000,451,2000,P-n16-k8_t2.log,450,0.22,0.22
P-n22-k2,22,160,2,0,2,218,2000,218,2000,P-n22-k2_t2.log,216,0.93,0.93
P-n45-k5,45,150,5,0,2,617,2000,617,2000,P-n45-k5_t2.log,510,20.98,20.98
P-n50-k10,50,100,10,0,2,792,2000,792,2000,P-n50-k10_t2.log,696,13.79,13.79
