instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file,bks_cost,gap_final_pct,gap_best_pct
A-n32-k5,32,100,5,0,2,784,2015,784,39,A-n32-k5_t2.log,784,0.00,0.00
A-n33-k6,33,100,6,0,2,743,2001,743,1229,A-n33-k6_t2.log,742,0.13,0.13
A-n36-k5,36,100,5,0,2,812,2001,812,517,A-n36-k5_t2.log,799,1.63,1.63
A-n39-k5,39,100,5,0,2,833,2001,833,597,A-n39-k5_t2.log,822,1.34,1.34
A-n44-k6,44,100,6,0,2,957,2001,957,610,A-n44-k6_t2.log,937,2.13,2.13
B-n50-k7,50,100,7,0,2,750,2002,750,925,B-n50-k7_t2.log,741,1.21,1.21
E-n30-k3,30,4500,3,0,2,534,2002,534,99,E-n30-k3_t2.log,534,0.00,0.00
E-n33-k4,33,8000,4,0,2,835,2003,835,33,E-n33-k4_t2.log,835,0.00,0.00
P-n16-k8,16,35,8,0,2,450,2001,450,20,P-n16-k8_t2.log,450,0.00,0.00
P-n22-k2,22,160,2,0,2,216,2003,216,35,P-n22-k2_t2.log,216,0.00,0.00
P-n45-k5,45,150,5,0,2,510,2002,510,1722,P-n45-k5_t2.log,510,0.00,0.00
P-n50-k10,50,100,10,0,2,707,2002,707,463,P-n50-k10_t2.log,696,1.58,1.58
