instance,n_nodes,capacity,vehicles,depot,time_limit_s,total_distance,solved_ms,best_cost,best_time_ms,log_file
A-n32-k5,32,100,5,0,30,784,30001,784,17,A-n32-k5_t30.log
A-n33-k6,33,100,6,0,30,743,30001,743,741,A-n33-k6_t30.log
A-n36-k5,36,100,5,0,30,799,30002,799,5624,A-n36-k5_t30.log
A-n39-k5,39,100,5,0,30,822,30001,822,28523,A-n39-k5_t30.log
A-n44-k6,44,100,6,0,30,942,30001,942,13462,A-n44-k6_t30.log
B-n50-k7,50,100,7,0,30,741,30001,741,4276,B-n50-k7_t30.log
E-n30-k3,30,4500,3,0,30,534,30001,534,122,E-n30-k3_t30.log
E-n33-k4,33,8000,4,0,30,835,30001,835,32,E-n33-k4_t30.log
P-n16-k8,16,35,8,0,30,450,30001,450,25,P-n16-k8_t30.log
P-n22-k2,22,160,2,0,30,216,30122,216,31,P-n22-k2_t30.log
P-n45-k5,45,150,5,0,30,510,30001,510,2478,P-n45-k5_t30.log
P-n50-k10,50,100,10,0,30,702,30003,702,23176,P-n50-k10_t30.log
