Instancia,N,ORT_Custo,ORT_Tempo(s),BRKGA_Custo,BRKGA_Geracoes,BRKGA_Tempo(s)
nug12.dat,12,590,300.133,578,220618,300
tai12a.dat,12,237200,300.267,224416,235086,300
chr12a.dat,12,9552,237.202,9552,229464,300
rou12.dat,12,235852,300.169,235852,232414,300
nug15.dat,15,1192,301.35,1160,213800,300
tai15a.dat,15,400120,300.519,399376,213373,300
chr15a.dat,15,10010,300.789,10064,219742,300
rou15.dat,15,366088,300.98,366830,206355,300
nug17.dat,17,1746,301.444,1734,190581,300
nug20.dat,20,2646,301.517,2640,179108,300
tai20a.dat,20,759600,301.093,720608,174475,300
chr20a.dat,20,2288,303.155,2626,175827,300
rou20.dat,20,751570,301.926,740582,177561,300
nug22.dat,22,3794,302.414,3596,169768,300
nug24.dat,24,3902,303.539,3552,158859,300
nug25.dat,25,4074,322.005,3850,159306,300
tai25a.dat,25,TIMEOUT/FALHA,300,FALHA,0,300
