Instancia,N,BKS,ORT_Custo,ORT_Tempo(s),Gap_ORT(%),BRKGA_Custo,BRKGA_Geracoes,BRKGA_Tempo(s),Gap_BRKGA(%),Vencedor
nug12.dat,12,578,590,300.133,2.08,578,220618,300,0.0,BRKGA-CUDA
tai12a.dat,12,224416,237200,300.267,5.7,224416,235086,300,0.0,BRKGA-CUDA
chr12a.dat,12,9552,9552,237.202,0.0,9552,229464,300,0.0,Empate
rou12.dat,12,235528,235852,300.169,0.14,235852,232414,300,0.14,Empate
nug15.dat,15,1150,1192,301.35,3.65,1160,213800,300,0.87,BRKGA-CUDA
tai15a.dat,15,388214,400120,300.519,3.07,399376,213373,300,2.88,BRKGA-CUDA
chr15a.dat,15,9896,10010,300.789,1.15,10064,219742,300,1.7,OR-Tools
rou15.dat,15,354210,366088,300.98,3.35,366830,206355,300,3.56,OR-Tools
nug17.dat,17,1732,1746,301.444,0.81,1734,190581,300,0.12,BRKGA-CUDA
nug20.dat,20,2570,2646,301.517,2.96,2640,179108,300,2.72,BRKGA-CUDA
tai20a.dat,20,703482,759600,301.093,7.98,720608,174475,300,2.43,BRKGA-CUDA
chr20a.dat,20,2192,2288,303.155,4.38,2626,175827,300,19.8,OR-Tools
rou20.dat,20,725522,751570,301.926,3.59,740582,177561,300,2.08,BRKGA-CUDA
nug22.dat,22,3596,3794,302.414,5.51,3596,169768,300,0.0,BRKGA-CUDA
nug24.dat,24,3488,3902,303.539,11.87,3552,158859,300,1.83,BRKGA-CUDA
nug25.dat,25,3744,4074,322.005,8.81,3850,159306,300,2.83,BRKGA-CUDA
tai25a.dat,25,1167256,TIMEOUT/FALHA,300,N/A,FALHA,0,300,N/A,Nenhum (Falha)
